,Artists,Song,Rank,Week
464,6ix9ine Featuring Bobby Shmurda,STOOPID,65,2018-11-10
465,Bryce Vine,Drew Barrymore,66,2018-11-10
466,Lauren Daigle,You Say,67,2018-11-10
467,Quavo,W O R K I N M E,68,2018-11-10
468,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,69,2018-11-10
469,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,70,2018-11-10
470,Russell Dickerson,Blue Tacoma,71,2018-11-10
471,Lady Gaga,I'll Never Love Again,72,2018-11-10
472,French Montana Featuring Drake,No Stylist,73,2018-11-10
473,Lady Gaga,Always Remember Us This Way,74,2018-11-10
474,Lil Peep & XXXTENTACION,Falling Down,75,2018-11-10
475,Tory Lanez & Rich The Kid,Talk To Me,76,2018-11-10
476,Maren Morris,Rich,77,2018-11-10
477,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,78,2018-11-10
478,Chris Janson,Drunk Girl,79,2018-11-10
479,Trippie Redd,Topanga,80,2018-11-10
480,Pardison Fontaine Featuring Cardi B,Backin' It Up,81,2018-11-10
481,Lil Mosey,Noticed,82,2018-11-10
482,Tyga & Nicki Minaj,Dip,83,2018-11-10
483,Daniel Caesar Featuring H.E.R.,Best Part,84,2018-11-10
484,Eminem Featuring Joyner Lucas,Lucky You,85,2018-11-10
485,Calvin Harris & Sam Smith,Promises,86,2018-11-10
486,Old Dominion,Hotel Key,87,2018-11-10
487,Eminem,Killshot,88,2018-11-10
488,Steve Aoki Featuring BTS,Waste It On Me,89,2018-11-10
489,P!nk,A Million Dreams,90,2018-11-10
490,Dierks Bentley Featuring Brothers Osborne,Burning Man,91,2018-11-10
491,Eminem,Venom,92,2018-11-10
492,Lil Uzi Vert,New Patek,93,2018-11-10
493,Dean Lewis,Be Alright,94,2018-11-10
494,Cole Swindell,Break Up In The End,95,2018-11-10
495,Eric Church,Desperate Man,96,2018-11-10
496,Lil Mosey,Kamikaze,97,2018-11-10
497,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,98,2018-11-10
498,Silk City x Dua Lipa,Electricity,99,2018-11-10
499,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,100,2018-11-10
500,Maroon 5 Featuring Cardi B,Girls Like You,1,2018-11-03
501,Travis Scott,Sicko Mode,2,2018-11-03
502,Juice WRLD,Lucid Dreams,3,2018-11-03
503,Marshmello & Bastille,Happier,4,2018-11-03
504,Post Malone,Better Now,5,2018-11-03
505,Kodak Black Featuring Travis Scott & Offset,ZEZE,6,2018-11-03
506,5 Seconds Of Summer,Youngblood,7,2018-11-03
507,Lil Baby & Gunna,Drip Too Hard,8,2018-11-03
508,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),9,2018-11-03
509,Khalid & Normani,Love Lies,10,2018-11-03
510,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,11,2018-11-03
511,Halsey,Without Me,12,2018-11-03
512,Bad Bunny Featuring Drake,MIA,13,2018-11-03
513,Lady Gaga & Bradley Cooper,Shallow,14,2018-11-03
514,Imagine Dragons,Natural,15,2018-11-03
515,Sheck Wes,Mo Bamba,16,2018-11-03
516,"Cardi B, Bad Bunny & J Balvin",I Like It,17,2018-11-03
517,Ella Mai,Trip,18,2018-11-03
518,Tyga Featuring Offset,Taste,19,2018-11-03
519,"Benny Blanco, Halsey & Khalid",Eastside,20,2018-11-03
520,Panic! At The Disco,High Hopes,21,2018-11-03
521,Drake,Nonstop,22,2018-11-03
522,Drake,In My Feelings,23,2018-11-03
523,Ariana Grande,God Is A Woman,24,2018-11-03
524,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,25,2018-11-03
525,Future & Juice WRLD,Fine China,26,2018-11-03
526,Lil Baby & Drake,Yes Indeed,27,2018-11-03
527,Selena Gomez,Back To You,28,2018-11-03
528,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,29,2018-11-03
529,lovelytheband,Broken,30,2018-11-03
530,Bazzi Featuring Camila Cabello,Beautiful,31,2018-11-03
531,Ella Mai,Boo'd Up,32,2018-11-03
532,Lil Wayne,Uproar,33,2018-11-03
533,Khalid,Better,34,2018-11-03
534,Kanye West & Lil Pump,I Love It,35,2018-11-03
535,Bebe Rexha,I'm A Mess,36,2018-11-03
536,Luke Combs,She Got The Best Of Me,37,2018-11-03
537,Taylor Swift,Delicate,38,2018-11-03
538,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,39,2018-11-03
539,Lauv,I Like Me Better,40,2018-11-03
540,Ariana Grande,Breathin,41,2018-11-03
541,Lil Baby,Close Friends,42,2018-11-03
542,XXXTENTACION,Sad!,43,2018-11-03
543,Post Malone Featuring Ty Dolla $ign,Psycho,44,2018-11-03
544,Cardi B Featuring Kehlani,Ring,45,2018-11-03
545,Dan + Shay,Tequila,46,2018-11-03
546,"Zedd, Maren Morris & Grey",The Middle,47,2018-11-03
547,6ix9ine Featuring Bobby Shmurda,STOOPID,48,2018-11-03
548,Lil Baby & Gunna Featuring Drake,Never Recover,49,2018-11-03
549,Ariana Grande,No Tears Left To Cry,50,2018-11-03
550,NF,Lie,51,2018-11-03
551,Dan + Shay,Speechless,52,2018-11-03
552,Flipp Dinero,Leave Me Alone,53,2018-11-03
553,Cardi B,Money,54,2018-11-03
554,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,55,2018-11-03
555,Kane Brown,Lose It,56,2018-11-03
556,Lady Gaga,Always Remember Us This Way,57,2018-11-03
557,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),58,2018-11-03
558,Quavo,W O R K I N M E,59,2018-11-03
559,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,60,2018-11-03
560,Jimmie Allen,Best Shot,61,2018-11-03
561,Shawn Mendes X Zedd,Lost In Japan,62,2018-11-03
562,Mitchell Tenpenny,Drunk Me,63,2018-11-03
563,Bryce Vine,Drew Barrymore,64,2018-11-03
564,Billie Eilish,When The Party's Over,65,2018-11-03
565,Lil Peep & XXXTENTACION,Falling Down,66,2018-11-03
566,Lady Gaga,I'll Never Love Again,67,2018-11-03
567,French Montana Featuring Drake,No Stylist,68,2018-11-03
568,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,69,2018-11-03
569,Russell Dickerson,Blue Tacoma,70,2018-11-03
570,Chris Young,Hangin' On,71,2018-11-03
571,Future & Juice WRLD Featuring Young Scooter,Jet Lag,72,2018-11-03
572,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,73,2018-11-03
573,Eminem,Venom,74,2018-11-03
574,Lauren Daigle,You Say,75,2018-11-03
575,Cole Swindell,Break Up In The End,76,2018-11-03
576,Calvin Harris & Sam Smith,Promises,77,2018-11-03
577,Eminem Featuring Joyner Lucas,Lucky You,78,2018-11-03
578,Eminem,Killshot,79,2018-11-03
579,Lil Mosey,Noticed,80,2018-11-03
580,Maren Morris,Rich,81,2018-11-03
581,Future & Juice WRLD,Astronauts,82,2018-11-03
582,Khalid,Saturday Nights,83,2018-11-03
583,Old Dominion,Hotel Key,84,2018-11-03
584,Daniel Caesar Featuring H.E.R.,Best Part,85,2018-11-03
585,Yella Beezy,That's On Me,86,2018-11-03
586,Chris Janson,Drunk Girl,87,2018-11-03
587,Khalid Featuring Empress Of,Suncity,88,2018-11-03
588,Khalid,Vertigo,89,2018-11-03
589,Lil Uzi Vert,New Patek,90,2018-11-03
590,Lil Yachty Featuring Juice WRLD,Yacht Club,91,2018-11-03
591,Juice WRLD,Make It Back,92,2018-11-03
592,Dua Lipa & BLACKPINK,Kiss And Make Up,93,2018-11-03
593,Eric Church,Desperate Man,94,2018-11-03
594,Pardison Fontaine Featuring Cardi B,Backin' It Up,95,2018-11-03
595,Weezer,Africa,96,2018-11-03
596,Silk City x Dua Lipa,Electricity,97,2018-11-03
597,Lil Yachty Featuring Playboi Carti,Get Dripped,98,2018-11-03
598,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,99,2018-11-03
599,Dierks Bentley Featuring Brothers Osborne,Burning Man,100,2018-11-03
600,Maroon 5 Featuring Cardi B,Girls Like You,1,2018-10-27
601,Kodak Black Featuring Travis Scott & Offset,ZEZE,2,2018-10-27
602,Juice WRLD,Lucid Dreams,3,2018-10-27
603,Post Malone,Better Now,4,2018-10-27
604,Bad Bunny Featuring Drake,MIA,5,2018-10-27
605,Marshmello & Bastille,Happier,6,2018-10-27
606,Travis Scott,Sicko Mode,7,2018-10-27
607,Lil Baby & Gunna,Drip Too Hard,8,2018-10-27
608,5 Seconds Of Summer,Youngblood,9,2018-10-27
609,Lady Gaga & Bradley Cooper,Shallow,10,2018-10-27
610,Ella Mai,Trip,11,2018-10-27
611,"Cardi B, Bad Bunny & J Balvin",I Like It,12,2018-10-27
612,Imagine Dragons,Natural,13,2018-10-27
613,Khalid & Normani,Love Lies,14,2018-10-27
614,Drake,In My Feelings,15,2018-10-27
615,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,16,2018-10-27
616,Tyga Featuring Offset,Taste,17,2018-10-27
617,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,18,2018-10-27
618,Ariana Grande,God Is A Woman,19,2018-10-27
619,Drake,Nonstop,20,2018-10-27
620,Sheck Wes,Mo Bamba,21,2018-10-27
621,"Benny Blanco, Halsey & Khalid",Eastside,22,2018-10-27
622,Halsey,Without Me,23,2018-10-27
623,Selena Gomez,Back To You,24,2018-10-27
624,Ella Mai,Boo'd Up,25,2018-10-27
625,Kanye West & Lil Pump,I Love It,26,2018-10-27
626,Panic! At The Disco,High Hopes,27,2018-10-27
627,Lil Baby & Drake,Yes Indeed,28,2018-10-27
628,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,29,2018-10-27
629,Lil Baby,Close Friends,30,2018-10-27
630,Bebe Rexha & Florida Georgia Line,Meant To Be,31,2018-10-27
631,Bazzi Featuring Camila Cabello,Beautiful,32,2018-10-27
632,lovelytheband,Broken,33,2018-10-27
633,Taylor Swift,Delicate,34,2018-10-27
634,Lil Baby & Gunna Featuring Drake,Never Recover,35,2018-10-27
635,Lil Wayne,Uproar,36,2018-10-27
636,Bebe Rexha,I'm A Mess,37,2018-10-27
637,Post Malone Featuring Ty Dolla $ign,Psycho,38,2018-10-27
638,Lauv,I Like Me Better,39,2018-10-27
639,XXXTENTACION,Sad!,40,2018-10-27
640,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,41,2018-10-27
641,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,42,2018-10-27
642,"Zedd, Maren Morris & Grey",The Middle,43,2018-10-27
643,Luke Combs,She Got The Best Of Me,44,2018-10-27
644,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,45,2018-10-27
645,Cardi B Featuring Kehlani,Ring,46,2018-10-27
646,Dan + Shay,Tequila,47,2018-10-27
647,Quavo Featuring Drake,Flip The Switch,48,2018-10-27
648,Ariana Grande,No Tears Left To Cry,49,2018-10-27
649,Lady Gaga,Always Remember Us This Way,50,2018-10-27
650,6ix9ine Featuring Bobby Shmurda,STOOPID,51,2018-10-27
651,Ariana Grande,Breathin,52,2018-10-27
652,Quavo,W O R K I N M E,53,2018-10-27
653,Lady Gaga,I'll Never Love Again,54,2018-10-27
654,Lil Peep & XXXTENTACION,Falling Down,55,2018-10-27
655,Cole Swindell,Break Up In The End,56,2018-10-27
656,Eminem,Venom,57,2018-10-27
657,NF,Lie,58,2018-10-27
658,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),59,2018-10-27
659,Florida Georgia Line,Simple,60,2018-10-27
660,Quavo Featuring 21 Savage,Pass Out,61,2018-10-27
661,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,62,2018-10-27
662,Dan + Shay,Speechless,63,2018-10-27
663,Bryce Vine,Drew Barrymore,64,2018-10-27
664,Russell Dickerson,Blue Tacoma,65,2018-10-27
665,Kane Brown,Lose It,66,2018-10-27
666,French Montana Featuring Drake,No Stylist,67,2018-10-27
667,Shawn Mendes X Zedd,Lost In Japan,68,2018-10-27
668,Jimmie Allen,Best Shot,69,2018-10-27
669,Eminem,Killshot,70,2018-10-27
670,Khalid,Better,71,2018-10-27
671,Mitchell Tenpenny,Drunk Me,72,2018-10-27
672,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,73,2018-10-27
673,Eminem Featuring Joyner Lucas,Lucky You,74,2018-10-27
674,Lauren Daigle,You Say,75,2018-10-27
675,Flipp Dinero,Leave Me Alone,76,2018-10-27
676,Lil Uzi Vert,New Patek,77,2018-10-27
677,Chris Young,Hangin' On,78,2018-10-27
678,Old Dominion,Hotel Key,79,2018-10-27
679,Calvin Harris & Sam Smith,Promises,80,2018-10-27
680,Daniel Caesar Featuring H.E.R.,Best Part,81,2018-10-27
681,Yella Beezy,That's On Me,82,2018-10-27
682,Queen Naija,Medicine,83,2018-10-27
683,Weezer,Africa,84,2018-10-27
684,Maren Morris,Rich,85,2018-10-27
685,Quavo,Biggest Alley Oop,86,2018-10-27
686,Chris Janson,Drunk Girl,87,2018-10-27
687,Quavo Featuring Travis Scott,Rerun,88,2018-10-27
688,Eric Church,Desperate Man,89,2018-10-27
689,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,90,2018-10-27
690,Lil Wayne Featuring XXXTENTACION,Don't Cry,91,2018-10-27
691,Lil Mosey,Noticed,92,2018-10-27
692,Quavo,Huncho Dreams,93,2018-10-27
693,Young Thug Featuring Gunna & Lil Baby,Chanel (Go Get It),94,2018-10-27
694,"Labrinth, Sia & Diplo Present... LSD",Thunderclouds,95,2018-10-27
695,Luke Bryan,"Sunrise, Sunburn, Sunset",96,2018-10-27
696,Silk City x Dua Lipa,Electricity,97,2018-10-27
697,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,98,2018-10-27
698,Kodak Black,"If I'm Lyin, I'm Flyin",99,2018-10-27
699,Quavo Featuring Lil Baby,Lose It,100,2018-10-27
700,Maroon 5 Featuring Cardi B,Girls Like You,1,2018-10-20
701,Juice WRLD,Lucid Dreams,2,2018-10-20
702,Post Malone,Better Now,3,2018-10-20
703,Lil Baby & Gunna,Drip Too Hard,4,2018-10-20
704,Lady Gaga & Bradley Cooper,Shallow,5,2018-10-20
705,Travis Scott,Sicko Mode,6,2018-10-20
706,5 Seconds Of Summer,Youngblood,7,2018-10-20
707,Marshmello & Bastille,Happier,8,2018-10-20
708,"Cardi B, Bad Bunny & J Balvin",I Like It,9,2018-10-20
709,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,10,2018-10-20
710,Drake,In My Feelings,11,2018-10-20
711,Khalid & Normani,Love Lies,12,2018-10-20
712,Imagine Dragons,Natural,13,2018-10-20
713,Tyga Featuring Offset,Taste,14,2018-10-20
714,Lil Baby & Gunna Featuring Drake,Never Recover,15,2018-10-20
715,Ella Mai,Trip,16,2018-10-20
716,Kanye West & Lil Pump,I Love It,17,2018-10-20
717,Halsey,Without Me,18,2018-10-20
718,Drake,Nonstop,19,2018-10-20
719,"Benny Blanco, Halsey & Khalid",Eastside,20,2018-10-20
720,Selena Gomez,Back To You,21,2018-10-20
721,Ariana Grande,God Is A Woman,22,2018-10-20
722,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,23,2018-10-20
723,Sheck Wes,Mo Bamba,24,2018-10-20
724,6ix9ine Featuring Bobby Shmurda,STOOPID,25,2018-10-20
725,Lil Baby & Drake,Yes Indeed,26,2018-10-20
726,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,27,2018-10-20
727,Lil Baby,Close Friends,28,2018-10-20
728,Lil Wayne,Uproar,29,2018-10-20
729,Ella Mai,Boo'd Up,30,2018-10-20
730,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,31,2018-10-20
731,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,32,2018-10-20
732,Taylor Swift,Delicate,33,2018-10-20
733,Bebe Rexha & Florida Georgia Line,Meant To Be,34,2018-10-20
734,Panic! At The Disco,High Hopes,35,2018-10-20
735,Lady Gaga,I'll Never Love Again,36,2018-10-20
736,XXXTENTACION,Sad!,37,2018-10-20
737,Post Malone Featuring Ty Dolla $ign,Psycho,38,2018-10-20
738,lovelytheband,Broken,39,2018-10-20
739,Lauv,I Like Me Better,40,2018-10-20
740,Lady Gaga,Always Remember Us This Way,41,2018-10-20
741,Bebe Rexha,I'm A Mess,42,2018-10-20
742,Eminem,Venom,43,2018-10-20
743,Ariana Grande,No Tears Left To Cry,44,2018-10-20
744,"Zedd, Maren Morris & Grey",The Middle,45,2018-10-20
745,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,46,2018-10-20
746,Bazzi Featuring Camila Cabello,Beautiful,47,2018-10-20
747,Florida Georgia Line,Simple,48,2018-10-20
748,Dan + Shay,Tequila,49,2018-10-20
749,Lil Peep & XXXTENTACION,Falling Down,50,2018-10-20
750,Luke Combs,She Got The Best Of Me,51,2018-10-20
751,Cardi B Featuring Kehlani,Ring,52,2018-10-20
752,Eminem,Killshot,53,2018-10-20
753,Lil Baby & Gunna Featuring Lil Durk & NAV,Off White VLONE,54,2018-10-20
754,Ariana Grande,Breathin,55,2018-10-20
755,Bryce Vine,Drew Barrymore,56,2018-10-20
756,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),57,2018-10-20
757,Russell Dickerson,Blue Tacoma,58,2018-10-20
758,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,59,2018-10-20
759,Lil Wayne Featuring XXXTENTACION,Don't Cry,60,2018-10-20
760,Lil Baby & Gunna,Business Is Business,61,2018-10-20
761,Lil Uzi Vert,New Patek,62,2018-10-20
762,Lady Gaga,Is That Alright?,63,2018-10-20
763,Eminem Featuring Joyner Lucas,Lucky You,64,2018-10-20
764,Kane Brown,Lose It,65,2018-10-20
765,Cole Swindell,Break Up In The End,66,2018-10-20
766,Lil Wayne Featuring Travis Scott,Let It Fly,67,2018-10-20
767,Eric Church,Desperate Man,68,2018-10-20
768,Dan + Shay,Speechless,69,2018-10-20
769,Old Dominion,Hotel Key,70,2018-10-20
770,NF,Lie,71,2018-10-20
771,Mitchell Tenpenny,Drunk Me,72,2018-10-20
772,Lauren Daigle,You Say,73,2018-10-20
773,Kodak Black,"If I'm Lyin, I'm Flyin",74,2018-10-20
774,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,75,2018-10-20
775,Khalid,Better,76,2018-10-20
776,Weezer,Africa,77,2018-10-20
777,Lil Wayne,Dedicate,78,2018-10-20
778,twenty one pilots,Jumpsuit,79,2018-10-20
779,Lil Baby & Gunna,Belly,80,2018-10-20
780,twenty one pilots,My Blood,81,2018-10-20
781,Shawn Mendes X Zedd,Lost In Japan,82,2018-10-20
782,Calvin Harris & Sam Smith,Promises,83,2018-10-20
783,Charlie Puth,The Way I Am,84,2018-10-20
784,French Montana Featuring Drake,No Stylist,85,2018-10-20
785,Queen Naija,Medicine,86,2018-10-20
786,Jimmie Allen,Best Shot,87,2018-10-20
787,Quavo,W O R K I N M E,88,2018-10-20
788,Chris Young,Hangin' On,89,2018-10-20
789,Yella Beezy,That's On Me,90,2018-10-20
790,Lil Wayne,Can't Be Broken,91,2018-10-20
791,Daniel Caesar Featuring H.E.R.,Best Part,92,2018-10-20
792,Bradley Cooper,Maybe It's Time,93,2018-10-20
793,Flipp Dinero,Leave Me Alone,94,2018-10-20
794,twenty one pilots,Nico And The Niners,95,2018-10-20
795,Chris Janson,Drunk Girl,96,2018-10-20
796,Lil Baby,Deep End,97,2018-10-20
797,Lil Baby & Gunna,I Am,98,2018-10-20
798,Luke Bryan,"Sunrise, Sunburn, Sunset",99,2018-10-20
799,Lil Mosey,Noticed,100,2018-10-20
800,Maroon 5 Featuring Cardi B,Girls Like You,1,2018-10-13
801,Lil Wayne Featuring Kendrick Lamar,Mona Lisa,2,2018-10-13
802,Juice WRLD,Lucid Dreams,3,2018-10-13
803,Post Malone,Better Now,4,2018-10-13
804,Lil Wayne Featuring XXXTENTACION,Don't Cry,5,2018-10-13
805,Travis Scott,Sicko Mode,6,2018-10-13
806,Lil Wayne,Uproar,7,2018-10-13
807,5 Seconds Of Summer,Youngblood,8,2018-10-13
808,Drake,In My Feelings,9,2018-10-13
809,Lil Wayne Featuring Travis Scott,Let It Fly,10,2018-10-13
810,"Cardi B, Bad Bunny & J Balvin",I Like It,11,2018-10-13
811,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,12,2018-10-13
812,Marshmello & Bastille,Happier,13,2018-10-13
813,Lil Wayne,Dedicate,14,2018-10-13
814,Tyga Featuring Offset,Taste,15,2018-10-13
815,Khalid & Normani,Love Lies,16,2018-10-13
816,Lil Wayne,Can't Be Broken,17,2018-10-13
817,Kanye West & Lil Pump,I Love It,18,2018-10-13
818,Imagine Dragons,Natural,19,2018-10-13
819,Ella Mai,Trip,20,2018-10-13
820,Ariana Grande,God Is A Woman,21,2018-10-13
821,Selena Gomez,Back To You,22,2018-10-13
822,Drake,Nonstop,23,2018-10-13
823,Lil Wayne Featuring Sosamann,What About Me,24,2018-10-13
824,Lil Baby & Gunna,Drip Too Hard,25,2018-10-13
825,Lil Wayne Featuring Nicki Minaj,Dark Side Of The Moon,26,2018-10-13
826,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,27,2018-10-13
827,Lady Gaga & Bradley Cooper,Shallow,28,2018-10-13
828,"Benny Blanco, Halsey & Khalid",Eastside,29,2018-10-13
829,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",No Brainer,30,2018-10-13
830,Lil Baby & Drake,Yes Indeed,31,2018-10-13
831,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,32,2018-10-13
832,Ella Mai,Boo'd Up,33,2018-10-13
833,Eminem,Killshot,34,2018-10-13
834,Bebe Rexha & Florida Georgia Line,Meant To Be,35,2018-10-13
835,Lil Wayne Featuring Reginae Carter,Famous,36,2018-10-13
836,Taylor Swift,Delicate,37,2018-10-13
837,Sheck Wes,Mo Bamba,38,2018-10-13
838,Lil Wayne Featuring Snoop Dogg,Dope N****z,39,2018-10-13
839,Lil Peep & XXXTENTACION,Falling Down,40,2018-10-13
840,XXXTENTACION,Sad!,41,2018-10-13
841,Lauv,I Like Me Better,42,2018-10-13
842,Ariana Grande,No Tears Left To Cry,43,2018-10-13
843,Post Malone Featuring Ty Dolla $ign,Psycho,44,2018-10-13
844,Bebe Rexha,I'm A Mess,45,2018-10-13
845,"Zedd, Maren Morris & Grey",The Middle,46,2018-10-13
846,Lil Wayne,Open Letter,47,2018-10-13
847,lovelytheband,Broken,48,2018-10-13
848,Panic! At The Disco,High Hopes,49,2018-10-13
849,Dan + Shay,Tequila,50,2018-10-13
850,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,51,2018-10-13
851,Bazzi Featuring Camila Cabello,Beautiful,52,2018-10-13
852,Florida Georgia Line,Simple,53,2018-10-13
853,Lil Uzi Vert,New Patek,54,2018-10-13
854,Eminem Featuring Joyner Lucas,Lucky You,55,2018-10-13
855,Kodak Black,"If I'm Lyin, I'm Flyin",56,2018-10-13
856,Lil Wayne,Problems,57,2018-10-13
857,Luke Combs,She Got The Best Of Me,58,2018-10-13
858,Lil Wayne,Hittas,59,2018-10-13
859,Russell Dickerson,Blue Tacoma,60,2018-10-13
860,Cardi B Featuring Kehlani,Ring,61,2018-10-13
861,Lil Wayne,Open Safe,62,2018-10-13
862,Bryce Vine,Drew Barrymore,63,2018-10-13
863,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),64,2018-10-13
864,Lil Wayne,Took His Time,65,2018-10-13
865,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan,66,2018-10-13
866,Weezer,Africa,67,2018-10-13
867,Ariana Grande,Breathin,68,2018-10-13
868,Old Dominion,Hotel Key,69,2018-10-13
869,Lauren Daigle,You Say,70,2018-10-13
870,NF,Lie,71,2018-10-13
871,Kane Brown,Lose It,72,2018-10-13
872,Cole Swindell,Break Up In The End,73,2018-10-13
873,Lil Wayne,Mess,74,2018-10-13
874,Lil Wayne,Let It All Work Out,75,2018-10-13
875,Lil Wayne Featuring Ashanti & Mack Maine,Start This S**t Off Right,76,2018-10-13
876,Charlie Puth,The Way I Am,77,2018-10-13
877,Lil Wayne,Used 2,78,2018-10-13
878,Machine Gun Kelly,Rap Devil,79,2018-10-13
879,Mitchell Tenpenny,Drunk Me,80,2018-10-13
880,Lil Wayne,Demon,81,2018-10-13
881,Dan + Shay,Speechless,82,2018-10-13
882,Luke Bryan,"Sunrise, Sunburn, Sunset",83,2018-10-13
883,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,84,2018-10-13
884,Calvin Harris & Sam Smith,Promises,85,2018-10-13
885,Lil Wayne,Perfect Strangers,86,2018-10-13
886,Khalid,Better,87,2018-10-13
887,Yella Beezy,That's On Me,88,2018-10-13
888,Queen Naija,Medicine,89,2018-10-13
889,Lil Wayne Featuring Nivea,Dope New Gospel,90,2018-10-13
890,Quavo,W O R K I N M E,91,2018-10-13
891,Daniel Caesar Featuring H.E.R.,Best Part,92,2018-10-13
892,Avril Lavigne,Head Above Water,93,2018-10-13
893,French Montana Featuring Drake,No Stylist,94,2018-10-13
894,Jimmie Allen,Best Shot,95,2018-10-13
895,Chris Young,Hangin' On,96,2018-10-13
896,Chris Janson,Drunk Girl,97,2018-10-13
897,Flipp Dinero,Leave Me Alone,98,2018-10-13
898,Shawn Mendes X Zedd,Lost In Japan,99,2018-10-13
899,Jason Aldean Featuring Miranda Lambert,Drowns The Whiskey,100,2018-10-13
900,Maroon 5 Featuring Cardi B,Girls Like You,1,2018-10-06
